epoch,step,train_loss
0,9,18444.720703125
0,19,11249.5654296875
0,29,11191.8837890625
0,39,3802.892822265625
0,49,4838.5537109375
0,59,3112.97265625
0,69,1557.6160888671875
0,79,1862.726806640625
0,89,2304.34619140625
0,99,2968.111572265625
0,109,2588.764892578125
0,119,1561.4696044921875
0,129,1864.109619140625
0,139,1173.2874755859375
0,149,1455.553466796875
0,159,1591.734375
0,169,1338.1319580078125
0,179,1322.73681640625
0,189,1070.5244140625
0,199,1053.0018310546875
0,209,695.4219970703125
0,219,951.414794921875
0,229,697.925537109375
0,239,1077.7510986328125
0,249,1246.9423828125
0,259,880.6790161132812
0,269,1106.3551025390625
0,279,580.9695434570312
0,289,860.5481567382812
0,299,1313.449951171875
0,309,1023.2308349609375
0,319,984.397705078125
0,329,1013.2684936523438
0,339,612.1073608398438
0,349,1193.666259765625
0,359,996.90625
0,369,609.4517822265625
0,379,848.4100952148438
0,389,719.7451171875
0,399,632.8345947265625
0,409,450.236083984375
0,419,802.4125366210938
0,429,1127.0650634765625
0,439,888.7784423828125
0,449,967.4220581054688
0,459,455.70745849609375
0,469,559.0880126953125
0,479,730.075927734375
0,489,273.6805725097656
0,499,511.98199462890625
0,509,616.2963256835938
0,519,552.8463134765625
0,529,605.8836059570312
0,539,623.443603515625
0,549,297.5958557128906
0,559,1410.845947265625
0,569,1150.9913330078125
0,579,715.0366821289062
0,589,957.3745727539062
0,599,750.8760375976562
0,609,790.177734375
0,619,560.9102172851562
0,629,525.2041015625
0,639,505.681884765625
0,649,444.234619140625
0,659,459.3475036621094
0,669,339.06988525390625
0,679,364.8822937011719
0,689,550.4649047851562
0,699,660.6099243164062
1,709,327.4638366699219
1,719,283.8055419921875
1,729,259.52008056640625
1,739,223.93722534179688
1,749,374.4922180175781
1,759,246.39572143554688
1,769,495.1629333496094
1,779,718.8580322265625
1,789,261.21630859375
1,799,337.1509094238281
1,809,338.294189453125
1,819,155.27833557128906
1,829,217.09463500976562
1,839,343.5922546386719
1,849,194.68067932128906
1,859,325.2903747558594
1,869,520.4542236328125
1,879,257.78900146484375
1,889,313.0484619140625
1,899,321.3116149902344
1,909,354.8259582519531
1,919,406.08758544921875
