iter	MultiRMSE
0	8.489684355
1	8.324313341
2	8.166651448
3	8.011188658
4	7.863361148
5	7.717291758
6	7.575210201
7	7.436171891
8	7.298659262
9	7.172773789
10	7.047986474
11	6.923454203
12	6.805695415
13	6.692087519
14	6.586800241
15	6.482045162
16	6.382554897
17	6.282356763
18	6.187404908
19	6.093212498
20	5.998297477
21	5.915825183
22	5.831438786
23	5.754369553
24	5.679831117
25	5.608650397
26	5.539332986
27	5.467294222
28	5.398360517
29	5.33409439
30	5.268693785
31	5.204574616
32	5.142154511
33	5.083691296
34	5.026543559
35	4.973000243
36	4.926655448
37	4.875803808
38	4.825355309
39	4.776255908
40	4.730729404
41	4.684780326
42	4.638629067
43	4.591721921
44	4.555565678
45	4.517932401
46	4.474713035
47	4.436496518
48	4.403389128
49	4.37118816
50	4.339503309
51	4.302433074
52	4.270977435
53	4.239010357
54	4.208490524
55	4.177179855
56	4.147290526
57	4.117355205
58	4.090571805
59	4.059309604
60	4.031601682
61	4.01002349
62	3.984662274
63	3.961251248
64	3.93748786
65	3.913457599
66	3.890770217
67	3.869650449
68	3.847334546
69	3.827385843
70	3.810811643
71	3.791519389
72	3.772831461
73	3.754542023
74	3.737006728
75	3.719228185
76	3.702826624
77	3.686777296
78	3.672603764
79	3.658658948
80	3.641548143
81	3.625890972
82	3.612543616
83	3.598125284
84	3.584442501
85	3.569032826
86	3.55590392
87	3.542911095
88	3.525399289
89	3.51328726
90	3.499670084
91	3.488195667
92	3.475358315
93	3.462030745
94	3.450829687
95	3.437895473
96	3.426913415
97	3.415557252
98	3.406135612
99	3.395396455
100	3.383806441
101	3.37322631
102	3.361383993
103	3.349930207
104	3.340267995
105	3.331027115
106	3.320093198
107	3.311353356
108	3.299960371
109	3.291827963
110	3.281533413
111	3.272252973
112	3.265682591
113	3.256268513
114	3.249432434
115	3.24041286
116	3.231734372
117	3.224779874
118	3.217137261
119	3.210370603
120	3.20307364
121	3.194806801
122	3.188524485
123	3.18094366
124	3.172640468
125	3.164350899
126	3.158641473
127	3.152305762
128	3.14508878
129	3.13880888
130	3.131088044
131	3.125308209
132	3.116283404
133	3.110740905
134	3.105087585
135	3.098489148
136	3.092221732
137	3.086926854
138	3.080695413
139	3.073019091
140	3.067551646
141	3.061199529
142	3.055639753
143	3.048966006
144	3.042406585
145	3.036707538
146	3.03120697
147	3.025549706
148	3.0198883
149	3.015035704
150	3.008214231
151	3.004000213
152	2.99834864
153	2.992892383
154	2.986930499
155	2.983124744
156	2.978906894
157	2.974119062
158	2.96916098
159	2.965115498
160	2.960137919
161	2.955681144
162	2.95108788
163	2.945917951
164	2.941655418
165	2.937507346
166	2.931849756
167	2.926573574
168	2.922443135
169	2.917814565
170	2.914366785
171	2.909450463
172	2.905722184
173	2.901161854
174	2.898208625
175	2.894007904
176	2.890427547
177	2.884611794
178	2.88113226
179	2.877139197
180	2.872644653
181	2.868182074
182	2.864116858
183	2.858488589
184	2.854009433
185	2.850322851
186	2.846735079
187	2.843217384
188	2.839080665
189	2.834469032
190	2.831807769
191	2.827666349
192	2.824289072
193	2.819408138
194	2.814936221
